GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
587,70,slashdot.org,org,26902,46314,slashdot.org,org,589,70,26820,46183
588,7,chinadaily.com.cn,cn,26883,51880,chinadaily.com.cn,cn,586,7,26888,51688
589,71,altervista.org,org,26856,50228,altervista.org,org,593,71,26737,50062
590,29,ny.gov,gov,26799,62627,ny.gov,gov,590,29,26808,62512
591,358,scmp.com,com,26791,55474,scmp.com,com,588,358,26839,55179
592,359,espn.com,com,26789,60679,espn.com,com,594,359,26718,60225
593,3,vkontakte.ru,ru,26779,53986,vkontakte.ru,ru,591,3,26798,53951
594,72,kde.org,org,26739,41734,kde.org,org,597,72,26631,41650
595,5,rakuten.co.jp,jp,26702,68260,rakuten.co.jp,jp,596,5,26678,67931
596,360,lww.com,com,26693,52462,lww.com,com,595,360,26679,52149
597,33,northwestern.edu,edu,26521,52230,northwestern.edu,edu,600,33,26470,51949
598,361,smithsonianmag.com,com,26516,56594,smithsonianmag.com,com,598,361,26571,56407
599,362,thehill.com,com,26458,57425,thehill.com,com,599,362,26525,57231
600,363,theglobeandmail.com,com,26433,55070,theglobeandmail.com,com,602,363,26440,54821
601,73,fedoraproject.org,org,26427,39597,fedoraproject.org,org,601,73,26463,39659
602,74,rfc-editor.org,org,26401,38714,rfc-editor.org,org,604,74,26409,38719
603,364,euronews.com,com,26375,53727,euronews.com,com,603,364,26420,53486
604,7,utoronto.ca,ca,26364,48844,utoronto.ca,ca,605,7,26361,48717
605,75,letsencrypt.org,org,26358,40474,letsencrypt.org,org,608,75,26313,40416
606,365,technologyreview.com,com,26356,50043,technologyreview.com,com,607,366,26342,49698
607,366,bitnami.com,com,26347,36355,bitnami.com,com,606,365,26343,36365
608,367,hollywoodreporter.com,com,26303,59277,hollywoodreporter.com,com,611,369,26251,58886
609,368,dictionary.com,com,26284,55483,dictionary.com,com,609,367,26294,55511
610,34,illinois.edu,edu,26248,49816,illinois.edu,edu,613,35,26192,49776
611,35,ucdavis.edu,edu,26239,51359,ucdavis.edu,edu,612,34,26196,51210
612,369,nikkei.com,com,26200,60090,nikkei.com,com,610,368,26274,59896
613,370,qualtrics.com,com,26193,46542,qualtrics.com,com,615,370,26129,46136
614,76,imf.org,org,26175,49729,imf.org,org,614,76,26142,49375
615,3,vic.gov.au,au,26131,57447,vic.gov.au,au,616,3,26126,57147
616,30,congress.gov,gov,26074,55566,congress.gov,gov,617,30,26067,55314
617,77,phys.org,org,25934,51442,phys.org,org,619,77,25898,51132
618,8,www.gov.cn,cn,25932,66781,www.gov.cn,cn,618,8,25971,66778
619,371,nike.com,com,25920,52573,nike.com,com,620,371,25875,52184
620,372,jquery.com,com,25880,41019,jquery.com,com,621,372,25843,41045
621,7,about.me,me,25840,50570,about.me,me,628,7,25688,50274
622,17,blogspot.co.uk,uk,25802,53312,blogspot.co.uk,uk,623,18,25746,53023
623,373,playstation.com,com,25752,54307,playstation.com,com,626,375,25732,54078
624,374,jimdofree.com,com,25749,56881,jimdofree.com,com,631,378,25584,56449
625,375,today.com,com,25741,57491,today.com,com,622,373,25752,57184
626,78,opensource.org,org,25735,41056,opensource.org,org,629,78,25660,40950
627,376,snapchat.com,com,25727,55439,snapchat.com,com,625,374,25736,55221
628,18,express.co.uk,uk,25724,55462,express.co.uk,uk,624,19,25738,55222
629,377,i1.wp.com,com,25715,57463,i1.wp.com,com,627,376,25705,57408
630,378,amazon-adsystem.com,com,25650,74465,amazon-adsystem.com,com,630,377,25657,74415
631,379,mozilla.com,com,25636,42430,mozilla.com,com,632,379,25526,42153
632,380,moz.com,com,25494,51729,moz.com,com,635,380,25482,51676
633,381,webex.com,com,25455,39974,webex.com,com,637,382,25415,39923
634,1,web.dev,dev,25431,49545,web.dev,dev,633,1,25497,49642
635,382,weather.com,com,25424,49273,weather.com,com,640,383,25355,49041
636,1,blog.google,google,25418,51556,blog.google,google,656,1,24984,50598
637,383,thoughtco.com,com,25413,53874,thoughtco.com,com,636,381,25471,53881
638,36,asu.edu,edu,25406,49556,asu.edu,edu,638,36,25399,49407
639,384,techradar.com,com,25381,52073,techradar.com,com,641,384,25350,51861
640,6,sakura.ne.jp,jp,25376,59658,sakura.ne.jp,jp,639,6,25360,59605
641,385,bigcartel.com,com,25376,50561,bigcartel.com,com,644,386,25270,50216
642,79,dmoz.org,org,25372,38200,dmoz.org,org,642,80,25286,38112
643,386,ning.com,com,25369,46159,ning.com,com,643,385,25285,46063
644,80,perl.org,org,25309,36789,perl.org,org,634,79,25484,37091
645,37,arizona.edu,edu,25308,48602,arizona.edu,edu,645,37,25260,48451
646,14,fbcdn.net,net,25302,46440,fbcdn.net,net,648,14,25227,46232
647,31,fcc.gov,gov,25273,49949,fcc.gov,gov,646,31,25257,49834
648,387,nydailynews.com,com,25258,53787,nydailynews.com,com,650,389,25204,53441
649,388,parallels.com,com,25247,49767,parallels.com,com,649,388,25215,49815
650,389,angelfire.com,com,25247,45862,angelfire.com,com,651,390,25180,45764
651,390,chron.com,com,25219,54404,chron.com,com,647,387,25229,54173
652,19,aol.co.uk,uk,25207,39204,aol.co.uk,uk,574,17,27151,42277
653,8,ubc.ca,ca,25181,47469,ubc.ca,ca,652,8,25137,47308
654,32,dot.gov,gov,25143,50193,dot.gov,gov,654,32,25085,50011
655,20,ucl.ac.uk,uk,25131,45234,ucl.ac.uk,uk,655,20,25064,45008
656,81,cancer.org,org,25115,53230,cancer.org,org,653,81,25088,52929
657,391,mystrikingly.com,com,25044,48800,mystrikingly.com,com,657,391,24976,48758
658,2,imageshack.us,us,25041,44410,imageshack.us,us,659,2,24940,44212
659,82,faqs.org,org,25034,37188,faqs.org,org,658,82,24965,37123
660,392,nymag.com,com,24932,54446,nymag.com,com,663,395,24871,54046
661,393,tmall.com,com,24925,50391,tmall.com,com,660,392,24934,50356
662,394,ign.com,com,24911,53537,ign.com,com,662,394,24904,53321
663,395,libsyn.com,com,24895,51928,libsyn.com,com,664,396,24816,51669
664,396,woocommerce.com,com,24884,53570,woocommerce.com,com,674,400,24567,52747
665,38,colorado.edu,edu,24854,46627,colorado.edu,edu,665,38,24802,46427
666,397,force.com,com,24851,44412,force.com,com,668,397,24765,44096
667,2,gob.es,es,24836,53554,gob.es,es,667,2,24782,53006
668,398,generatepress.com,com,24797,73716,generatepress.com,com,661,393,24904,73799
669,21,metro.co.uk,uk,24786,53467,metro.co.uk,uk,666,21,24795,53104
670,399,lifehacker.com,com,24742,50335,lifehacker.com,com,669,398,24732,50081
671,33,medlineplus.gov,gov,24736,55583,medlineplus.gov,gov,683,34,24305,54540
672,83,gutenberg.org,org,24722,44821,gutenberg.org,org,671,84,24661,44589
673,39,virginia.edu,edu,24619,45126,virginia.edu,edu,673,39,24594,45085
674,84,clevelandclinic.org,org,24612,59991,clevelandclinic.org,org,670,83,24666,59769
675,400,cell.com,com,24605,47875,cell.com,com,672,399,24599,47543
676,401,podbean.com,com,24550,49118,podbean.com,com,678,403,24457,48796
677,9,bc.ca,ca,24486,48195,bc.ca,ca,679,9,24453,48085
678,85,joomla.org,org,24484,43468,joomla.org,org,677,85,24472,43454
679,402,accenture.com,com,24479,43695,accenture.com,com,675,401,24490,43457
680,40,brookings.edu,edu,24432,49898,brookings.edu,edu,680,40,24424,49638
681,403,instructables.com,com,24432,48582,instructables.com,com,681,404,24382,48323
682,404,fiverr.com,com,24406,55123,fiverr.com,com,676,402,24478,55073
683,34,uspto.gov,gov,24372,43992,uspto.gov,gov,682,33,24351,43830
